path                                                                        , name                                                    , original                                           , subject_1      , subject_2   , subject_3, subject_4, subject_5, century, author    , prov , ID_vol         , number, P_Page, A_Art, P.01, P.02, A.01, A.02, A.03, A.04, A.05, A.06, A.07, A.08, Text, Fig, Deco, Mus, Let, annotation_id, id  , P_Page_annotation, A_Art_annotation, P.01_annotation, P.02_annotation, A.01_annotation, A.02_annotation, A.03_annotation, A.04_annotation, A.05_annotation, A.06_annotation, A.07_annotation, A.08_annotation, Text_annotation, Fig_annotation, Deco_annotation, Mus_annotation, Let_annotation, category, subclass           , labels   , ID_GFN, id_slice, id_cluster, id_ring
P_Page/P.01_Manuscript/P.01_Mus_15PWLoC-053.jpg                             , P.01_Mus_15PWLoC-053.jpg                                , P.01_Mus_15PWLoC-053                               , Mus            ,             ,          ,          ,          ,      15, PW        , LoC  , 15PWLoC        ,     53,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,   1,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,              0,               0,              1,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 0_0_0_1_0,       ,        3,          0,       3
P_Page/P.01_Manuscript/P.01_An_14AneuKB-03.jpeg                             , P.01_An_14AneuKB-03.jpeg                                , P.01_An_14AneuKB-03                                , An             ,             ,          ,          ,          ,      14, An        , euKB , 14AneuKB       ,      3,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    1,   0,   1,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               1,              0,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_1_0_1,       ,        1,          3,       2
P_Page/P.01_Manuscript/P.01_Deco_14BF3LoC-073.jpg                           , P.01_Deco_14BF3LoC-073.jpg                              , P.01_Deco_14BF3LoC-073                             , Deco           ,             ,          ,          ,          ,      14, BF3       , LoC  , 14BF3LoC       ,     73,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,          7371, 5007,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              1, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_0_0_1,       ,        1,          0,       2
P_Page/P.01_Manuscript/P.01_Vis-Nat_14AneuKB-01.jpeg                        , P.01_Vis-Nat_14AneuKB-01.jpeg                           , P.01_Vis-Nat_14AneuKB-01                           , Vis            , Nat         ,          ,          ,          ,      14, An        , euKB , 14AneuKB       ,      1,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    0,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_0_0_0,       ,        2,          3,       2
P_Page/P.02_Print/P.02_Text_15ADSzB-21.jpg                                  , P.02_Text_15ADSzB-21.jpg                                , P.02_Text_15ADSzB-21                               , Text           ,             ,          ,          ,          ,      15, AD        , SzB  , 15ADSzB        ,     21,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       3
P_Page/P.01_Manuscript/P.01_Fig_14BdE2LoC-044.jpg                           , P.01_Fig_14BdE2LoC-044.jpg                              , P.01_Fig_14BdE2LoC-044                             , Fig            ,             ,          ,          ,          ,      14, BdE2      , LoC  , 14BdE2LoC      ,     44,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    1,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               1,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_1_0_0,       ,        0,          7,       2
P_Page/P.01_Manuscript/P.01_Mus_15ADLoC-082.jpg                             , P.01_Mus_15ADLoC-082.jpg                                , P.01_Mus_15ADLoC-082                               , Mus            ,             ,          ,          ,          ,      15, AD        , LoC  , 15ADLoC        ,     82,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   1,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              1,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_0_1_0,       ,        3,          0,       3
P_Page/P.02_Print/P.02_Text_15LCJHLoC-15.jpg                                , P.02_Text_15LCJHLoC-15.jpg                              , P.02_Text_15LCJHLoC-15                             , Text           ,             ,          ,          ,          ,      15, LCJH      , LoC  , 15LCJHLoC      ,     15,      1,     0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   1,          7372, 5012,                 1,                0,               0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 0_1_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       3
P_Page/P.01_Manuscript/P.01_Text_14anfLoC-069.jpg                           , P.01_Text_14anfLoC-069.jpg                              , P.01_Text_14anfLoC-069                             , Text           ,             ,          ,          ,          ,      14, anf       , LoC  , 14anfLoC       ,     69,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   0,    0,   0,   0,              ,     ,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              0,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_0_0_0_0,       ,        0,          0,       2
P_Page/P.01_Manuscript/P.01_EnJ_14DLLoC.jpg                                 , P.01_EnJ_14DLLoC.jpg                                    , P.01_EnJ_14DLLoC                                   , EnJ            ,             ,          ,          ,          ,      14, DL        , LoC  , 14DLLoC        ,      0,      1,     0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,   1,    1,   0,   0,          7373, 5014,                 1,                0,               1,               0,               0,               0,               0,               0,               0,               0,               0,               0,               1,              1,               0,              0,              0, 1_0     , 1_0_0_0_0_0_0_0_0_0, 1_1_0_0_0,       ,        4,          4,       2
