Subject_ITA                                                       , Subject                                                        , Sigla           , Cat, Sub_Cat, Class, Sub_Class, Sub_Class-1, Iconclass                     , Ordinare, Cluster, Section        , Getty    , Getty_2
matematica                                                        , Mathematics                                                    , Math            ,   4,      49, 49D  ,          , 49D        , 49D                           , 49D     , 9_2    , Personification,          ,          
aritmetica                                                        , arithmetic                                                     , Arithmetic      ,   4,      49, 49D  ,         1, 49D1       , 49D1                          , 49D     , 9_2    , Personification,          ,          
planimetria_geometria                                             , planimetry_geometry                                            , Geometry        ,   4,      49, 49D  ,         3, 49D3       , 49D3                          , 49D     , 9_2    , Personification,          ,          
scienza_e_tecnica                                                 , Science_and_technology                                         , Science         ,   4,      49, 49E  ,          , 49E        , 49E                           , 49E     , 9_2    , Personification,          ,          
Astronomia_e_cosmografia                                          , Astronomy_and_cosmography                                      , Astronomy       ,   4,      49, 49E  ,         1, 49E1       , 49E1                          , 49E     , 9_2    , Personification,          ,          
fisica_e_meccanica                                                , physics_and_mechanics                                          , Physics         ,   4,      49, 49E  ,         2, 49E2       , 49E2                          , 49E     , 9_2    , Personification,          ,          
chimica                                                           , chemistry                                                      , Chemestry       ,   4,      49, 49E  ,         3, 49E3       , 49E3                          , 49E     , 9_2    , Personification,          ,          
Biologia                                                          , Biology                                                        , Biology         ,   4,      49, 49F  ,          , 49F        , 49F                           , 49F     , 9_2    , Personification,          ,          
botanica                                                          , Botany                                                         , Botany          ,   4,      49, 49F  ,         1, 49F1       , 49F1                          , 49F1    , 10_6   , Nature         ,          ,          
Erbario                                                           , Herbarium                                                      , Herbarium       ,   4,      49, 49F  ,         1, 49F1       , 49F12                         , 49F1    , 10_6   , Nature         ,          ,          
zoologia                                                          , zoology                                                        , Zoology         ,   4,      49, 49F  ,         2, 49F2       , 49F2                          , 49F2    , 8_6    , Animal         ,          ,          
medicina                                                          , Medicine_medical_science                                       , Medicine        ,   4,      49, 49G  ,          , 49G        , 49G                           , 49G     , 9_2    , Personification,          ,          
geografia                                                         , Geography                                                      , Geography       ,   4,      49, 49I  ,          , 49I        , 49I                           , 49I     , 9_2    , Personification,          ,          
discipline_storiche_filologia                                     , Historical_disciplines_philology                               , History         ,   4,      49, 49K  ,          , 49K        , 49K                           , 49K     , 9_2    , Personification,          ,          
calligrafia                                                       , Calligraphy                                                    , Lett            ,   4,      49, 49L  ,         4, 49L4       , 49L4                          , 49L4    , 1_1    , Text           ,          ,          
Penna                                                             , Pen                                                            , PenW            ,   4,      49, 49L  ,         5, 49L5       , 49L51                         , 49L5    , 10_4   , Object         ,          ,          
Matita                                                            , Pencil                                                         , Pencil          ,   4,      49, 49L  ,         5, 49L5       , 49L52                         , 49L5    , 10_4   , Object         ,          ,          
Inchiostro                                                        , Ink                                                            , Ink             ,   4,      49, 49L  ,         6, 49L6       , 49L61                         , 49L6    , 10_4   , Object         ,          ,          
scrittura_manuale_testo_scritto                                   , Handwriting_written-text                                       , Text            ,   4,      49, 49L  ,         7, 49L7       , 49L7                          , 49L7    , 1_1    , Text           ,          ,          
iscrizione                                                        , Inscripion                                                     , Epigraphy       ,   4,      49, 49L  ,         8, 49L8       , 49L8                          , 49L8    , 1_1    , Text           ,          ,          
bellezza_Bellezza_Ripa                                            , Beauty_Bellezza_Ripa                                           , Beauty          ,   5,      51, 51D  ,         4, 51D4       , 51D4                          , 51D     , 9_2    , Personification,          ,          
previdenza_riflessione_Previdenza_Providenza_Ripa                 , Forethought_Deliberation_Previdenza_Providenza_Ripa            , providence      ,   5,      52, 52A  ,         2, 52A2       , 52A2                          , 52A     , 9_1    , VirtueVice     ,          ,          
Verità_Ripa                                                       , Truth_Verità_Ripa                                              , Truth           ,   5,      52, 52A  ,         6, 52A6       , 52A6                          , 52A     , 9_1    , VirtueVice     ,          ,          
Tenacia_Costanza_Ripa                                             , Constancy_Tenacity_Costanza_Ripa                               , Costance        ,   5,      53, 53A  ,         2, 53A2       , 53A21                         , 53A     , 9_1    , VirtueVice     ,          ,          
accuratezza_Diligenza_Ripa                                        , Carefulness_Diligence_Diligenza                                , Diligentia      ,   5,      54, 54A  ,         2, 54A2       , 54A2                          , 54A     , 9_1    , VirtueVice     ,          ,          
Continenza_Ripa                                                   , Continence_Continenza_Ripa                                     , Continence      ,   5,      54, 54A  ,         4, 54A4       , 54A41                         , 54A     , 9_1    , VirtueVice     ,          ,          
temperanza_moderazione_Misura_Ripa                                , Temperance_Misura_Ripa                                         , Temperance      ,   5,      54, 54A  ,         4, 54A4       , 54A43                         , 54A     , 9_1    , VirtueVice     ,          ,          
pazienza_Patienza_Ripa                                            , Patience_Patienza_Ripa                                         , Patience        ,   5,      54, 54A  ,         4, 54A4       , 54A44                         , 54A     , 9_1    , VirtueVice     ,          ,          
quiete_Quiete_Ripa                                                , Rest_Quiete_Ripa                                               , Rest            ,   5,      54, 54A  ,         4, 54A4       , 54A46                         , 54A     , 9_1    , VirtueVice     ,          ,          
forza_potere_Forza_Ripa                                           , Strength_Power_Fortezza_Ripa                                   , Fortress        ,   5,      54, 54A  ,         7, 54A7       , 54A7                          , 54A     , 9_1    , VirtueVice     ,          ,          
Fortuna                                                           , Fortune                                                        , Fortune         ,   5,      54, 54F  ,         1, 54F1       , 54F12                         , 54F     , 9_1    , VirtueVice     ,          ,          
vittoria                                                          , Victory                                                        , Victory         ,   5,      54, 54F  ,         2, 54F2       , 54F2                          , 54F     , 9_1    , VirtueVice     ,          ,          
Emozione                                                          , Emotion                                                        , Emotion         ,   5,      56, 56   ,          , 56         , 56                            , 56      , 9_1    , VirtueVice     ,          ,          
sentire_sentimento_emozione                                       , Feeling                                                        , Feeling         ,   5,      56, 56A  ,          , 56A        , 56A                           , 56A     , 9_1    , VirtueVice     ,          ,          
Speranza_Ripa                                                     , Hope_Speranza_Ripa                                             , Hope            ,   5,      56, 56D  ,         1, 56D1       , 56D1                          , 56D     , 9_1    , VirtueVice     ,          ,          
fiducia_fede                                                      , Trust                                                          , Trust           ,   5,      56, 56D  ,         2, 56D2       , 56D2                          , 56D     , 9_1    , VirtueVice     ,          ,          
Confidenza_Sicurezza_Tranquillità_Ripa                            , Confidence_Security_Tranquillity_Confidenza_Tranquillità_Ripa  , Confidence      ,   5,      56, 56D  ,         3, 56D3       , 56D3                          , 56D     , 9_1    , VirtueVice     ,          ,          
rabbia_collera                                                    , Rage_Anger                                                     , Rage            ,   5,      56, 56E  ,         2, 56E2       , 56E2                          , 56E     , 9_1    , VirtueVice     ,          ,          
Furore_e_Rabbia_Ripa                                              , Fury_Furore_Rabbia_Ripa                                        , Fury            ,   5,      56, 56E  ,         3, 56E3       , 56E3                          , 56E     , 9_1    , VirtueVice     ,          ,          
Mansuetudine_Ripa                                                 , Meekness_Mansuetudine_Ripa                                     , Meekness        ,   5,      56, 56EE ,         2, 56EE2      , 56EE2                         , 56EE    , 9_1    , VirtueVice     ,          ,          
Desiderio_Ripa                                                    , Desire_Desiderio_Ripa                                          , Desire          ,   5,      56, 56F  ,         1, 56F1       , 56F1                          , 56F     , 9_1    , VirtueVice     ,          ,          
Amore_Ripa                                                        , Love_Amore_Ripa                                                , Love            ,   5,      56, 56F  ,         2, 56F2       , 56F2                          , 56F     , 9_1    , VirtueVice     ,          ,          
odio_Odio_capitale_Ripa                                           , Hate_Odio_capitale_Ripa                                        , Hate            ,   5,      56, 56FF ,         2, 56FF2      , 56FF2                         , 56FF    , 9_1    , VirtueVice     ,          ,          
discrezione_modestia_Discretione_Modestia_Ripa                    , Descretion_Modesty_Modestia_Ripa                               , Modesty         ,   5,      57, 57A  ,         6, 57A6       , 57A641                        , 57A     , 9_1    , VirtueVice     ,          ,          
Magnanimità_Ripa                                                  , Magnanimity_Magnanimità_Ripa                                   , Magnanimity     ,   5,      57, 57A  ,         7, 57A7       , 57A71                         , 57A     , 9_1    , VirtueVice     ,          ,          
Giustitia_Ripa                                                    , Justice_Giustitia_Ripa                                         , Justice         ,   5,      59, 59C  ,         2, 59C2       , 59C2                          , 59C     , 9_1    , VirtueVice     ,          ,          
legalità                                                          , Legality                                                       , Legality        ,   5,      59, 59C  ,         3, 59C3       , 59C3                          , 59C     , 9_1    , VirtueVice     ,          ,          
personaggi_storici_conosciuti                                     , Historical_male_persons                                        , Port(M)         ,   6,      61, 61B  ,         2, 61B2       , 61B2                          , 61B     , 8_3    , Portrait       ,          ,          
Antonio_Canova                                                    , Antonio_Canova                                                 , Canova          ,   6,      61, 61B  ,         2, 61B2       , 61B2(CANOVA)                  , 61B     , 8_3    , Portrait       ,          ,          
Dante_Alighieri                                                   , Dante_Alighieri                                                , Dante           ,   6,      61, 61B  ,         2, 61B2       , 61B2(DANTE_ALIGHIERI)         , 61B     , 8_3    , Portrait       ,          ,          
Georges_Jacques_Danton                                            , Georges_Jacques_Danton                                         , Danton          ,   6,      61, 61B  ,         2, 61B2       , 61B2(GEORGE_JACQUES_DANTON)   , 61B     , 8_3    , Portrait       ,          ,          
Erasmo_da_Rotterdam                                               , Erasmus_of_Rotterdam                                           , Erasmo          ,   6,      61, 61B  ,         3, 61B3       , 61B2(ERASMUS_OF_ROTTERDAM)    , 61B     , 8_3    , Portrait       ,          ,          
Giuseppe_Garibaldi                                                , Giuseppe_Garibaldi                                             , Garibaldi       ,   6,      61, 61B  ,         2, 61B2       , 61B2(GIUSEPPE_GARIBALDI)      , 61B     , 8_3    , Portrait       ,          ,          
Luigi_XVI_di_Francia                                              , Louis_XVI_of_France                                            , LouisXVI        ,   6,      61, 61B  ,         2, 61B2       , 61B2(LOUIS_XVI_OF_FRANCE)     , 61B     , 8_3    , Portrait       ,          ,          
Jean_Paul_Marat                                                   , Jean_Paul_Marat                                                , Marat           ,   6,      61, 61B  ,         2, 61B2       , 61B2(MARAT)                   , 61B     , 8_3    , Portrait       ,          ,          
Napoleone_Bonaparte                                               , Napoleon_Bonaparte                                             , Napoleon        ,   6,      61, 61B  ,         2, 61B2       , 61B2(NAPOLEON_BONAPARTE)      , 61B     , 8_3    , Portrait       ,          ,          
Napoleone_III                                                     , Napoleon_III                                                   , NapIII          ,   6,      61, 61B  ,         2, 61B2       , 61B2(NAPOLEON_III)            , 61B     , 8_3    , Portrait       ,          ,          
